key,description,en,zh,fr,pt
ui_label:thank_you,win screen (bullet hell boss fight),Thank you for playing.,感谢参与游戏,Merci d’avoir joué.,Obrigado por jogar.
ui_label:game_over_text,game over screen (bullet hell boss fight),Terminated,您已死亡,Vous avez succombé.,Finalizado
ui_label:soul_button,button text (bullet hell boss fight),Fight Back,反击,Continuer de se battre,Lute
ui_label:shortcuts_label,options screen hint,Ctrl+M changes soundtrack,Ctrl+M 更改声轨,Ctrl+M pour changer de musique,Ctrl+M muda a trilha sonora
ui_label:heart,[noun] (in-game resource),Heart,心脏,Cœur,Coração
ui_label:singularity,[noun] (in-game resource),Singularity,奇点,Singularité,Singularidade
ui_label:death,"automated prestige timer ""Current: 47s | Best: 20s | Death:17s"" (granted by ""Death"" charm / tarot card)",Death,死亡,Mort,Morte
ui_label:current,"automated prestige timer ""Current: 47s | Best: 20s | Death:17s""",Current,当前,Actuel,Atual
ui_label:best,"automated prestige timer ""Current: 47s | Best: 20s | Death:17s""",Best,最佳,Meilleur,Melhor
ui_label:harvest_forest,button text,Harvest\nForest,收获\n森林,Exploiter\nla forêt,Colher\nFloresta
ui_label:harvest_forest_title,button on hover infobox title,Harvest Forest,收获森林,Exploiter la forêt,Colher a Floresta
ui_label:harvest_forest_info,button on hover infobox description,"Channel your substance into the exposed roots of The Dark Forest, exploiting it from within.",与暗黑森林的裸露根系直接相连，从内部开发资源。,"Canalisez votre substance dans les racines mises à nu de la Forêt des Ténèbres, et drainez-la de l’intérieur.","Canalize sua substância nas raízes expostas da Floresta Negra, explorando-a de dentro pra fora."
ui_label:watermark_title,WATERMARK,Official Game Page,官方游戏页面,Page officielle du jeu,Página oficial do jogo
ui_label:watermark_info,WATERMARK,"For the latest version, please verify that you are playing at the official URL, the only one I maintain and update.",为了获取最新版本，请确认您在我维护和更新的官方网页进行游戏。,"Pour profiter de la dernière version, assurez-vous de jouer à l’URL officielle, celle-ci étant la seule que je tiens à jour.","Para a versão mais recente, por favor verifique-se de que está jogando no URL oficial, o único que eu mantenho e atualizo."
ui_label:dark_forest_title,infobox on reopen game,The Dark Forest,暗黑森林,La Forêt des Ténèbres,A Floresta Negra
ui_label:dark_forest_info,infobox on reopen game,"You have awakened once more. Be wary, The Dark Forest never sleeps...",您再次苏醒。小心，暗黑森林永不眠……,"Vous vous éveillez à nouveau. Prenez garde, la Forêt des Ténèbres ne dort jamais...","Você acordou novamente. Tenha cuidado, A Floresta Negra nunca adormece..."
ui_label:spirit_effect,bonus effect description - granting more passive damage by % increase,swordsman passive damage,剑士被动伤害,de dégâts passifs des soldats,dano passivo do espadachim
ui_label:essence_effect,bonus effect description - granting more click damage by % increase,swordsman as click damage,剑士点击伤害,des soldats en dégât de clic,dano de clique do espadachim
ui_label:shadow_effect,bonus effect description - granting more resources by % increase,resource net income,资源净收入,de ressources produites,rendimento dos recursos
ui_label:tab_info_unknown,[EMPTY],,,,
ui_label:tab_info_offline,[EMPTY],,,,
